animal_id,name,datetime,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color
A928485,Georgia,04/14/2025 03:40:00 PM,Stray,Normal,Dog,Intact Female,9 months,Pointer/Pit Bull,Black/White
A928517,*Lady Bug,04/15/2025 11:52:00 AM,Stray,Normal,Dog,Intact Female,2 years,Dachshund/Chihuahua Shorthair,Brown Brindle
A928508,,04/15/2025 12:13:00 PM,Stray,Injured,Dog,Intact Female,2 years,Cairn Terrier Mix,White
A928214,*Frisco,04/15/2025 01:19:00 PM,Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever/Pit Bull,Brown/White
A928559,*Blanche,04/15/2025 02:31:00 PM,Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A928565,*Paulo,04/15/2025 04:11:00 PM,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,White/Black
A928581,*Carmella,04/16/2025 09:27:00 AM,Owner Surrender,Normal,Dog,Intact Female,2 years,Labrador Retriever/Siberian Husky,White
A928582,,04/16/2025 09:27:00 AM,Owner Surrender,Normal,Dog,Intact Male,1 week,Mastiff/Alaskan Husky,Tricolor/Black
A928583,,04/16/2025 09:27:00 AM,Owner Surrender,Normal,Dog,Intact Female,1 week,Mastiff/Alaskan Husky,Tricolor/Black
A928584,,04/16/2025 09:27:00 AM,Owner Surrender,Normal,Dog,Intact Male,1 week,Mastiff/Alaskan Husky,Black/Tan
A928585,,04/16/2025 09:27:00 AM,Owner Surrender,Normal,Dog,Intact Female,1 week,Mastiff/Alaskan Husky,Black/White
A928586,,04/16/2025 09:27:00 AM,Owner Surrender,Normal,Dog,Intact Male,1 week,Mastiff/Alaskan Husky,Sable/White
A928587,,04/16/2025 09:27:00 AM,Owner Surrender,Normal,Dog,Intact Male,1 week,Mastiff/Alaskan Husky,Tricolor/Brown
A928588,,04/16/2025 09:27:00 AM,Owner Surrender,Normal,Dog,Intact Female,1 week,Mastiff/Alaskan Husky,Tricolor
A928590,*Mary Kate,04/16/2025 10:22:00 AM,Abandoned,Normal,Dog,Intact Female,1 month,German Shepherd/Siberian Husky,Fawn/Black
A928591,*Ashley,04/16/2025 10:22:00 AM,Abandoned,Normal,Dog,Intact Female,1 month,German Shepherd/Siberian Husky,Ruddy/Black
A928592,,04/16/2025 10:22:00 AM,Abandoned,Normal,Dog,Intact Female,1 month,German Shepherd/Siberian Husky,Black/Cream
A928593,,04/16/2025 10:22:00 AM,Abandoned,Normal,Dog,Intact Female,1 month,German Shepherd/Siberian Husky,Black/Yellow Brindle
A928597,*Echo,04/16/2025 10:22:00 AM,Abandoned,Normal,Dog,Intact Female,1 year,Siberian Husky,Black/White
A928609,Baron,04/16/2025 12:29:00 PM,Owner Surrender,Normal,Dog,Neutered Male,3 years,Black Mouth Cur,Fawn/White
A928610,*Ferris Bueller,04/16/2025 12:55:00 PM,Stray,Normal,Dog,Intact Male,1 month,Australian Kelpie Mix,Black/White
A928615,Clifford,04/16/2025 02:34:00 PM,Owner Surrender,Normal,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A928622,*Avery,04/16/2025 07:32:00 PM,Stray,Normal,Dog,Intact Female,4 years,Labrador Retriever,Brown
A928623,Good Boy,04/16/2025 07:49:00 PM,Owner Surrender,Normal,Dog,Intact Male,3 years,Labrador Retriever Mix,Tan/Yellow
A928624,Black Dog,04/16/2025 07:49:00 PM,Owner Surrender,Normal,Dog,Intact Male,3 years,Labrador Retriever Mix,Black/Tan
A895318,Sunshine,04/17/2025 07:27:00 AM,Stray,Normal,Dog,Intact Female,3 years,Pit Bull,Tricolor
A928636,*Dorothy,04/17/2025 08:47:00 AM,Stray,Sick,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A928637,*Sophia,04/17/2025 08:47:00 AM,Stray,Sick,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A928650,*Meadow,04/17/2025 11:18:00 AM,Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Black/White
A928651,,04/17/2025 11:18:00 AM,Owner Surrender,Normal,Cat,Intact Female,1 weeks,Domestic Shorthair,Blue/White
A928652,,04/17/2025 11:18:00 AM,Owner Surrender,Normal,Cat,Intact Female,1 weeks,Domestic Shorthair,Black/White
A928653,,04/17/2025 11:18:00 AM,Owner Surrender,Normal,Cat,Intact Female,1 weeks,Domestic Shorthair,Black
A928655,,04/17/2025 11:18:00 AM,Owner Surrender,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair,Black/White
A928656,,04/17/2025 11:18:00 AM,Owner Surrender,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair,Black
A928657,,04/17/2025 11:18:00 AM,Owner Surrender,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair,Black
A928685,*Rose,04/17/2025 01:40:00 PM,Stray,Medical,Cat,Intact Female,1 month,Domestic Shorthair,Black/White
A928673,Mamba,04/17/2025 01:48:00 PM,Abandoned,Injured,Dog,Intact Male,2 years,American Pit Bull Terrier,Blue/White
A928626,*Toaster,04/17/2025 08:19:00 PM,Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Black
A928718,Zariah,04/18/2025 10:50:00 AM,Owner Surrender,Normal,Dog,Spayed Female,3 years,American Pit Bull Terrier,Brown/White
A928729,,04/18/2025 12:02:00 PM,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Black
A928730,Dawn,04/18/2025 12:02:00 PM,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Black
A928731,,04/18/2025 12:02:00 PM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black
A928732,,04/18/2025 12:02:00 PM,Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Calico
A928725,*Oscar,04/18/2025 12:05:00 PM,Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever/Pit Bull,Brown Brindle/White
A928743,,04/18/2025 12:53:00 PM,Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue Tabby
A928744,,04/18/2025 12:53:00 PM,Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair,Blue Tabby
A928746,Berlioz,04/18/2025 01:13:00 PM,Owner Surrender,Normal,Cat,Unknown,11 months,Domestic Shorthair,Blue
A928754,*Abby The Tabby,04/18/2025 02:30:00 PM,Public Assist,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby
A928773,*Pj,04/18/2025 09:29:00 PM,Stray,Injured,Dog,Intact Male,2 years,American Staffordshire Terrier,Brown/White
A928769,*Lyra,04/19/2025 07:44:00 AM,Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Cream
A928771,Juno,04/19/2025 07:59:00 AM,Owner Surrender,Injured,Cat,Intact Female,3 years,Domestic Shorthair,Calico
A928791,,04/19/2025 11:02:00 AM,Stray,Sick,Cat,Intact Female,1 month,Domestic Longhair,Gray
A928792,,04/19/2025 11:02:00 AM,Stray,Sick,Cat,Intact Female,1 month,Domestic Longhair,Cream Tabby/White
A928793,,04/19/2025 11:06:00 AM,Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair,Gray Tabby/White
A928806,*Easter Sunrise,04/19/2025 01:22:00 PM,Stray,Injured,Cat,Intact Female,9 months,Domestic Shorthair,White/Brown Tabby
A928814,Momma,04/19/2025 05:19:00 PM,Owner Surrender,Normal,Cat,Spayed Female,3 years,Domestic Shorthair,Blue Tabby
A928825,*Tundra,04/20/2025 08:02:00 AM,Stray,Injured,Dog,Intact Female,1 month,Australian Shepherd/Great Pyrenees,White
A928866,,04/20/2025 12:05:00 PM,Stray,Neonatal,Cat,Intact Female,0 years,Domestic Shorthair,Brown Tabby
A928834,*Emma,04/20/2025 02:23:00 PM,Stray,Medical,Dog,Intact Female,3 months,German Shepherd/Labrador Retriever,Black/Tan
A928835,*Gemma,04/20/2025 02:23:00 PM,Stray,Medical,Dog,Intact Female,3 months,German Shepherd/Labrador Retriever,Black/Tan
A928838,*Mary Kate,04/20/2025 05:24:00 PM,Public Assist,Normal,Dog,Intact Female,1 year,Catahoula Mix,Fawn/Cream
A928839,*Ashley,04/20/2025 05:24:00 PM,Public Assist,Normal,Dog,Intact Female,1 year,Catahoula Mix,Red/Tan
A928840,*Uncle Joey,04/20/2025 05:24:00 PM,Public Assist,Normal,Dog,Intact Male,1 year,Catahoula Mix,Buff/Cream
A928847,,04/21/2025 07:24:00 AM,Stray,Neonatal,Cat,Intact Female,2 days,Domestic Shorthair,White/White
A928848,,04/21/2025 07:24:00 AM,Stray,Neonatal,Cat,Intact Female,2 days,Domestic Shorthair,White/White
A928852,*Tessa,04/21/2025 09:43:00 AM,Stray,Feral,Dog,Intact Female,2 months,Labrador Retriever,White
A928858,Canela,04/21/2025 10:19:00 AM,Abandoned,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Tan
A928874,*Cinnamon,04/21/2025 12:37:00 PM,Stray,Normal,Dog,Intact Female,11 months,Pit Bull,Tan/White
A928877,*Ric Flair,04/21/2025 12:58:00 PM,Stray,Normal,Dog,Intact Male,2 months,American Pit Bull Terrier,White/Brown
A928879,*Paloma,04/21/2025 01:07:00 PM,Stray,Normal,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Brown Brindle
A928890,*Blake,04/21/2025 01:38:00 PM,Stray,Normal,Cat,Unknown,2 years,Domestic Shorthair,Orange Tabby
A928905,Milo,04/21/2025 03:33:00 PM,Stray,Normal,Dog,Neutered Male,1 year,Siberian Husky/German Shepherd,Brown/Tan
A928906,Binx,04/21/2025 05:28:00 PM,Owner Surrender,Normal,Cat,Unknown,2 years,Domestic Shorthair,Tortie
A928756,,04/22/2025 01:00:00 AM,Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Brown
A928927,*Harper,04/22/2025 07:38:00 AM,Stray,Injured,Dog,Intact Female,1 year,Pit Bull,Brown/White
A928945,*Gus Gus,04/22/2025 11:54:00 AM,Owner Surrender,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Black/Cream
A928947,*Smoke,04/22/2025 11:54:00 AM,Owner Surrender,Normal,Dog,Intact Male,2 years,Siberian Husky Mix,White/Black Smoke
A928946,,04/22/2025 12:05:00 PM,Stray,Neonatal,Cat,Intact Male,1 weeks,Domestic Shorthair,Brown Tabby
A928944,Gwen,04/22/2025 12:26:00 PM,Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Shorthair,Blue/White
A928780,,04/22/2025 01:14:00 PM,Stray,Normal,Cat,Intact Male,6 days,Domestic Shorthair,Black
A928781,,04/22/2025 01:14:00 PM,Stray,Normal,Cat,Intact Male,6 days,Domestic Shorthair,Black/White
A928782,,04/22/2025 01:14:00 PM,Stray,Normal,Cat,Intact Male,6 days,Domestic Shorthair,White/Black
A928783,,04/22/2025 01:14:00 PM,Stray,Normal,Cat,Intact Male,6 days,Domestic Shorthair,Gray
A928784,,04/22/2025 01:14:00 PM,Stray,Normal,Cat,Intact Male,6 days,Domestic Shorthair,Orange Tabby
A928785,,04/22/2025 01:14:00 PM,Stray,Normal,Cat,Intact Female,6 days,Domestic Shorthair,Tortie
A928661,,04/22/2025 01:14:00 PM,Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Tortie/Orange
A928953,*Sparkle,04/22/2025 01:44:00 PM,Stray,Normal,Other,Intact Female,1 year,Rabbit Sh,White/Black
A928666,,04/22/2025 02:13:00 PM,Stray,Normal,Cat,Neutered Male,3 years,Domestic Shorthair,Black/White
A928959,*Badger,04/22/2025 02:19:00 PM,Stray,Normal,Dog,Intact Male,2 years,Belgian Malinois,Sable
A928967,Corazon,04/22/2025 03:31:00 PM,Stray,Normal,Dog,Intact Male,1 month,Dalmatian Mix,White/Black
A928968,Flor,04/22/2025 03:31:00 PM,Stray,Normal,Dog,Intact Female,1 month,Dalmatian/Australian Cattle Dog,White/Black
A928948,Nola,04/22/2025 06:11:00 PM,Owner Surrender,Normal,Dog,Intact Female,2 years,American Bulldog Mix,White/Black
A928987,Lilly,04/23/2025 09:47:00 AM,Stray,Sick,Dog,Spayed Female,10 years,Siberian Husky,Gray/White
A928988,*Ricky,04/23/2025 10:16:00 AM,Owner Surrender,Normal,Dog,Neutered Male,2 years,Siberian Husky,White
A928989,*Lucy,04/23/2025 10:16:00 AM,Owner Surrender,Normal,Dog,Intact Female,1 year,Siberian Husky,White
A928990,*Petunia,04/23/2025 10:16:00 AM,Owner Surrender,Normal,Dog,Intact Female,3 years,Siberian Husky,Brown/Gray
A929001,*Bear,04/23/2025 11:09:00 AM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Blue
A929002,*Fox,04/23/2025 11:09:00 AM,Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Blue
A929003,*Rabbit,04/23/2025 11:09:00 AM,Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Black
A929004,*Turtle,04/23/2025 11:09:00 AM,Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Black
A928995,*Guppy,04/23/2025 11:15:00 AM,Stray,Neonatal,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby
A928996,*Minnow,04/23/2025 11:15:00 AM,Stray,Neonatal,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby/White
A928997,*Danio,04/23/2025 11:15:00 AM,Stray,Neonatal,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby
A928998,*Molly,04/23/2025 11:15:00 AM,Stray,Neonatal,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue
A928999,*Tetra,04/23/2025 11:15:00 AM,Stray,Neonatal,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue/White
A929010,Tiger,04/23/2025 12:48:00 PM,Owner Surrender,Injured,Dog,Intact Male,9 months,Pit Bull,Brown Brindle/White
A929014,Pinecone,04/23/2025 01:48:00 PM,Stray,Injured,Dog,Neutered Male,4 months,Alaskan Husky/German Shepherd,Brown/Tan
A929025,*Graham,04/23/2025 03:21:00 PM,Stray,Normal,Dog,Intact Male,3 years,Pit Bull,Tan
A929040,*Dance,04/24/2025 08:07:00 AM,Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,White/Brown Tabby
A929041,*Prance,04/24/2025 08:07:00 AM,Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby
A929042,*Bounce,04/24/2025 08:07:00 AM,Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Brown Tabby
A929043,*Pounce,04/24/2025 08:07:00 AM,Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,White/Brown Tabby
A929073,*Max,04/24/2025 10:19:00 AM,Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair,Gray/White
A929074,*Chloe,04/24/2025 10:19:00 AM,Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair,Tortie Point
A929047,,04/24/2025 10:40:00 AM,Stray,Normal,Cat,Neutered Male,1 year,Domestic Shorthair,Gray Tabby
A929048,Biscuit,04/24/2025 10:51:00 AM,Owner Surrender,Normal,Other,Intact Male,4 months,Rabbit Sh,Tan
A929046,Fluffy,04/24/2025 10:51:00 AM,Owner Surrender,Normal,Other,Intact Male,4 months,Rabbit Sh,White/Black
A929056,*Thackery,04/24/2025 11:51:00 AM,Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair,Black
A929060,*Nebula,04/24/2025 12:17:00 PM,Stray,Normal,Cat,Neutered Male,10 years,Domestic Medium Hair,Black/Black
A929062,Softie,04/24/2025 12:17:00 PM,Stray,Normal,Cat,Spayed Female,3 years,Domestic Shorthair,Gray
A929058,Hulk,04/24/2025 12:25:00 PM,Owner Surrender,Normal,Dog,Neutered Male,2 years,Rottweiler,Black/Tan
A929069,Bear,04/24/2025 12:59:00 PM,Owner Surrender,Normal,Dog,Neutered Male,4 years,Chow Chow Mix,Brown
A928614,Mongo,04/24/2025 03:18:00 PM,Stray,Normal,Cat,Neutered Male,8 years,Domestic Medium Hair,Black
A929085,,04/24/2025 03:33:00 PM,Stray,Normal,Cat,Intact Male,0 years,Domestic Shorthair,Black
A929086,,04/24/2025 03:33:00 PM,Stray,Normal,Cat,Intact Female,0 years,Domestic Shorthair,Brown Tabby
A929087,,04/24/2025 03:33:00 PM,Stray,Normal,Cat,Intact Female,0 years,Domestic Shorthair,Brown Tabby
A929088,,04/24/2025 03:33:00 PM,Stray,Normal,Cat,Intact Female,0 years,Domestic Shorthair,Gray
A929089,,04/24/2025 03:33:00 PM,Stray,Normal,Cat,Intact Male,0 years,Domestic Shorthair,Gray
A929079,*Mina,04/24/2025 03:33:00 PM,Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Black
A928755,*Clawrence,04/24/2025 03:36:00 PM,Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Orange/White
A929090,*Rory,04/24/2025 04:02:00 PM,Public Assist,Normal,Dog,Intact Male,2 years,American Pit Bull Terrier,Red/White
A929092,,04/24/2025 04:20:00 PM,Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,White/Black Tabby
A929107,,04/25/2025 06:34:00 AM,Stray,Neonatal,Cat,Intact Female,2 days,Domestic Shorthair,Black
A929126,*Lavender,04/25/2025 11:07:00 AM,Stray,Normal,Dog,Intact Female,3 years,Rat Terrier Mix,Black/White
A929137,,04/25/2025 12:33:00 PM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black/White
A929138,,04/25/2025 12:33:00 PM,Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Black/White
A929139,,04/25/2025 12:33:00 PM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black/White
A929140,,04/25/2025 12:33:00 PM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby
A929155,,04/25/2025 01:26:00 PM,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Black
A929156,,04/25/2025 01:26:00 PM,Stray,Neonatal,Cat,Intact Female,1 weeks,Domestic Shorthair,Black
A929157,,04/25/2025 01:26:00 PM,Stray,Neonatal,Cat,Intact Female,1 weeks,Domestic Shorthair,Black/White
A929158,,04/25/2025 01:26:00 PM,Stray,Neonatal,Cat,Intact Female,1 weeks,Domestic Shorthair,Black/White
A929159,,04/25/2025 01:26:00 PM,Stray,Neonatal,Cat,Intact Female,1 weeks,Domestic Shorthair,Black/White
A929160,,04/25/2025 01:26:00 PM,Stray,Neonatal,Cat,Intact Female,1 weeks,Domestic Shorthair,Black/White
A929149,Kota,04/25/2025 02:00:00 PM,Stray,Normal,Dog,Intact Male,2 years,Cane Corso Mix,Black/White
A929211,,04/26/2025 10:45:00 AM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black
A929213,,04/26/2025 10:45:00 AM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,White/Orange
A929214,,04/26/2025 10:45:00 AM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,White/Black
A929201,,04/26/2025 12:19:00 PM,Stray,Injured,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby/Gray
A929186,Bella,04/26/2025 07:55:00 PM,Public Assist,Behavior,Dog,Intact Female,2 years,Pit Bull,White
A929187,Pig,04/26/2025 07:55:00 PM,Public Assist,Behavior,Dog,Intact Male,5 months,Pit Bull,White/Black
A929229,Nana Puddin,04/27/2025 12:21:00 AM,Public Assist,Normal,Dog,Intact Female,3 months,Collie Smooth,Brown/White
A929233,*Mr. Magoo,04/27/2025 12:32:00 AM,Stray,Injured,Dog,Intact Male,4 years,American Bulldog,Brown Brindle
A929238,,04/27/2025 08:52:00 AM,Stray,Injured,Dog,Intact Male,5 years,Australian Cattle Dog,Blue Tick/Brown
A929253,,04/27/2025 11:14:00 AM,Stray,Normal,Dog,Intact Female,7 months,Anatol Shepherd Mix,White/Tan
A929251,,04/27/2025 11:14:00 AM,Stray,Normal,Dog,Intact Female,7 months,Anatol Shepherd Mix,Tan/White
A929246,,04/27/2025 11:28:00 AM,Stray,Normal,Dog,Intact Female,1 year,Australian Cattle Dog,White/Black
A929261,,04/27/2025 01:18:00 PM,Stray,Normal,Dog,Intact Male,4 years,Border Terrier,Tan/White
A929269,,04/28/2025 07:25:00 AM,Stray,Sick,Cat,Unknown,1 week,Domestic Shorthair,White
A929286,*Diana,04/28/2025 11:27:00 AM,Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Black/White
A926950,*Anakin,04/28/2025 11:30:00 AM,Stray,Normal,Dog,Intact Male,9 months,Border Collie Mix,Black/White
A926951,Daisy,04/28/2025 11:30:00 AM,Stray,Normal,Dog,Intact Female,9 months,German Shepherd Mix,Black/Brown Brindle
A929291,,04/28/2025 12:24:00 PM,Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Blue/White
A929294,,04/28/2025 12:24:00 PM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby
A929295,,04/28/2025 12:24:00 PM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Black
A929300,,04/28/2025 12:35:00 PM,Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A929301,,04/28/2025 12:35:00 PM,Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A929302,,04/28/2025 12:35:00 PM,Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Gray
A929297,,04/28/2025 12:38:00 PM,Stray,Normal,Cat,Unknown,9 months,Domestic Shorthair,Orange Tabby
A929298,,04/28/2025 12:38:00 PM,Stray,Normal,Cat,Unknown,9 months,Domestic Shorthair,Orange Tabby
A929228,,04/28/2025 01:03:00 PM,Stray,Normal,Dog,Intact Female,3 months,Plott Hound,Tan
A929305,,04/28/2025 01:32:00 PM,Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby
A929306,,04/28/2025 01:32:00 PM,Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby
